BAND,OUTPUT,INPUT,LOCATION,CALLSIGN,AREA,TONE,CTCSS_IN,CTCSS_OUT,DCS,DCS_CODE,DTMF,REMOTE_BASE,SNP,AUTOPATCH,PATCH_SEQ,LINKED,LINK_FREQ,WIDE_AREA,LATITUDE,LONGITUDE,NOTES,LATITUDE_DDMMSS,LONGITUDE_DDDMMSS,SITE_NAME,COVERAGE_AREA
440,449.025,444.025,Fairview,WA7X,Central,N,,,N,,N,N,N,N,,N,,Y,39.6181,-111.3644,O X E,393705,1112152,Fairview,MANTI
144,147.32,147.92,Sunnyside,K7SDC,Price,Y,88.5,,N,,N,Y,N,Y,,Y,SDARC,Y,39.6389,-110.3425,OXCaRb 88.5 LSDARC,393820,1102033,Bruin Peak,BRUIN
440,449.05,444.05,Sunnyside,K7SDC,Price,Y,88.5,,N,,N,Y,N,Y,,Y,147.32,Y,39.6389,-110.3425,OXCaRb 88.5 L147.32,393820,1102033,Bruin Peak,BRUIN
144,145.175,144.575,Sunnyside,K7SDC,Price,N,,,N,,N,Y,N,Y,,Y,SDARC,Y,39.6447,-110.3478,O NXDN,393841,1102052,Bruin Peak,BRUIN
144,147.08,147.68,Scofield,K7SDC,Price,Y,88.5,,N,,N,Y,N,Y,,Y,147.32,Y,39.6567,-111.1994,OXCaRb 88.5 L147.32,393924,1111158,Boardinghouse Ridge,FORD
220,224.98,223.38,Scofield,WX7Y,Price,Y,88.5,,N,,N,Y,N,N,,N,,Y,39.6567,-111.1994,O X E Rb IREAN,393924,1111158,Boardinghouse,PRICE
144,145.31,144.71,Scofield,K7SDC,Price,Y,88.5,,N,,N,Y,N,Y,,Y,147.32,Y,39.7564,-110.99,OXCaRb 88.5 L147.32,394523,1105924,Ford Ridge,FORD
144,146.72,146.12,Indianola,WB7REL,Central,Y,100,,N,,N,N,N,Y,,Y,433.65,N,39.7594,-111.5433,O A-911 100 L146.66,394534,1113236,Indianola Peak,MANTI
440,447.325,442.325,Indian Canyon,N7KYY,Price,Y,114.8,,N,,N,N,N,N,,N,,N,39.8447,-110.7231,,395041,1104323,Indian Canyon,
144,145.39,144.79,Vernon,W7EO,West,Y,100,,N,,N,N,N,Y,,Y,146.98,N,39.9844,-112.5397,O A L146.98,395904,1123223,Black Crook,DELTA/TV
440,448.975,443.975,Vernon,WA7GIE,West,N,,,N,,N,N,N,N,,Y,Cactus,Y,39.9844,-112.5397,C X L(Cactus),395904,1123223,Black Crook,TV
440,449.8,444.8,Woodland Hills,KC7WSU,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.0042,-111.6453,O Mototrbo,400015,1113843,Woodland Hills,UTCM
440,447.3,442.3,Woodland Hills,WB7RPF,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.0056,-111.6547,O,400020,1113917,Woodland Hills,WF
440,447.075,442.075,Salem,N7FQ,Wasatch Front,Y,131.8,,N,,N,N,N,N,,N,,N,40.0256,-111.6703,O 131.8,400132,1114013,Salem,UTCM
440,447.4,442.4,Spanish Fork,K7DSN,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,Y,40.0278,-111.3708,O X,400140,1112215,Teat Peak,Spanish Fork
440,449.25,444.25,Salem,W7TTK,Wasatch Front,Y,88.5,,N,,N,N,Y,N,,N,,N,40.0306,-111.66,O,400150,1113936,W7TTK QTH,UTCM
144,145.63,145.63,Provo,NV7V,Provo,N,,,N,,N,N,N,N,,N,,N,40.0364,-111.7214,Space Shuttle Audio,400211,1114317,Provo/Utah County,UTCM
440,447,442,Payson,NV7V,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.0369,-111.7211,O,400213,1114316,Payson,UTCM
440,448.025,443.025,Payson,KB7M,Wasatch Front,Y,131.8,,N,,N,Y,N,N,,N,,N,40.0431,-111.7381,O Rb(2m) 131.8,400235,1114417,Payson,UTCM
440,447.125,442.125,Payson,K7UCA,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,N,40.0439,-111.7136,ARES 100.0,400238,1114249,Mtn View Hospital,WF
220,224.6,223,Payson,WD7N,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.045,-111.7317, ,400242,1114354,Payson,WF
440,448.95,443.95,Payson,WA7FFM,Wasatch Front,N,,,N,,N,N,N,N,,N,,N,40.0892,-111.8219,O,400521,1114919,West Mtn,UTCM
440,448.25,443.25,Payson,N6QWU,Wasatch Front,Y,100,,N,,N,N,N,N,,N,,Y,40.0894,-111.8222,O,400522,1114920,West Mtn,UTCM
